gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,17,2888250.0,2504250.0,147750.0,235500.0,1663834.593710692,1366632.9689727463,126985.44067085953,170216.18406708597,-1224415.406289308,-1137617.0310272537,-20764.559329140466,-65283.81593291403,"[0, 20)"
Female,18,3596500.0,3100500.0,169500.0,326000.0,2326163.678914405,1906113.5118997912,169804.31649269312,250245.85052192066,-1270336.321085595,-1194386.4881002088,304.3164926931204,-75754.14947807934,"[0, 20)"
Female,19,4304750.0,3696750.0,191250.0,416500.0,2783618.832045547,2275298.2289548595,188320.03172021147,320000.5713704758,-1521131.1679544528,-1421451.7710451405,-2929.9682797885325,-96499.42862952419,"[0, 20)"
Female,20,5013000.0,4293000.0,213000.0,507000.0,3147163.3425010745,2558624.727546197,203774.09926944564,384764.5156854319,-1865836.6574989255,-1734375.272453803,-9225.900730554364,-122235.48431456811,"[20, 30)"
Female,21,5379400.0,4576200.0,220000.0,582800.0,3515658.067699837,2847617.5207993477,217004.15171288743,451036.395187602,-1863741.932300163,-1728582.4792006523,-2995.8482871125743,-131763.60481239803,"[20, 30)"
Female,22,5745800.0,4859400.0,227000.0,658600.0,3774401.1793721975,3034386.3444761517,227251.16714227476,512763.6677537709,-1971398.8206278025,-1825013.6555238483,251.1671422747604,-145836.3322462291,"[20, 30)"
Female,23,6112200.0,5142600.0,234000.0,734400.0,4074251.423019432,3263728.9405829594,233593.350896861,576929.1315396114,-2037948.576980568,-1878871.0594170406,-406.6491031390033,-157470.86846038862,"[20, 30)"
Female,24,6478600.0,5425800.0,241000.0,810200.0,4284589.583846154,3411105.5892307693,243318.00615384616,630165.9884615385,-2194010.4161538463,-2014694.4107692307,2318.0061538461596,-180034.01153846155,"[20, 30)"
Female,25,6845000.0,5709000.0,248000.0,886000.0,4476973.682002208,3540382.003312477,255842.74383511225,680748.9348546191,-2368026.317997792,-2168617.996687523,7842.743835112255,-205251.0651453809,"[20, 30)"
Female,26,7090800.0,5883400.0,268000.0,937600.0,4694306.473137536,3692284.775429799,270734.89290830947,731286.8047994269,-2396493.526862464,-2191115.224570201,2734.89290830947,-206313.19520057307,"[20, 30)"
Female,27,7336600.0,6057800.0,288000.0,989200.0,4922751.3614775725,3855526.4907651716,288191.2526385224,779033.6180738786,-2413848.6385224275,-2202273.5092348284,191.25263852241915,-210166.38192612142,"[20, 30)"
Female,28,7582400.0,6232200.0,308000.0,1040800.0,5188719.925564163,4048010.907039407,308396.5698888515,832312.4486359044,-2393680.0744358366,-2184189.092960593,396.56988885148894,-208487.55136409565,"[20, 30)"
Female,29,7828200.0,6406600.0,328000.0,1092400.0,5316964.87667304,4117725.5165710645,328112.7890376036,871126.5710643722,-2511235.12332696,-2288874.4834289355,112.7890376035939,-221273.4289356278,"[20, 30)"
Female,30,8074000.0,6581000.0,348000.0,1144000.0,5599880.868248517,4325975.189822041,348652.21667187015,925253.461754605,-2474119.1317514833,-2255024.8101779586,652.2166718701483,-218746.53824539494,"[30, 40)"
Female,31,8278600.0,6710600.0,368800.0,1198400.0,5826591.12599936,4480732.206267988,369558.5036776463,976300.4160537256,-2452008.8740006397,-2229867.7937320117,758.5036776462803,-222099.58394627436,"[30, 40)"
Female,32,8483200.0,6840200.0,389600.0,1252800.0,6076101.253433617,4653086.45029431,390747.12197514717,1032267.6811641596,-2407098.746566383,-2187113.54970569,1147.1219751471654,-220532.31883584044,"[30, 40)"
Female,33,8687800.0,6969800.0,410400.0,1307200.0,6117019.478598014,4639911.137096774,411680.22797766747,1065428.1135235731,-2570780.5214019855,-2329888.862903226,1280.2279776674695,-241771.88647642685,"[30, 40)"
Female,34,8892400.0,7099400.0,431200.0,1361600.0,6299865.763017356,4753153.778037383,437176.93224299065,1109535.0527369827,-2592534.2369826436,-2346246.221962617,5976.932242990646,-252064.9472630173,"[30, 40)"
Female,35,9097000.0,7229000.0,452000.0,1416000.0,6517085.84610215,4904873.47782258,468982.49159946234,1143229.8766801076,-2579914.15389785,-2324126.5221774196,16982.491599462344,-272770.12331989245,"[30, 40)"
Female,36,9319800.0,7395200.0,502000.0,1422400.0,6656377.7738581505,4984843.682138879,508133.3052357965,1163400.7864834757,-2663422.2261418495,-2410356.317861121,6133.305235796492,-258999.2135165243,"[30, 40)"
Female,37,9542600.0,7561400.0,552000.0,1428800.0,6941068.57943208,5200002.090943975,553298.6914811973,1187767.7970069072,-2601531.4205679204,-2361397.9090560246,1298.6914811972529,-241032.20299309283,"[30, 40)"
Female,38,9765400.0,7727600.0,602000.0,1435200.0,7085306.9367469875,5290861.473268072,601472.045933735,1192973.4175451808,-2680093.0632530125,-2436738.526731928,-527.9540662650252,-242226.58245481923,"[30, 40)"
Female,39,9988200.0,7893800.0,652000.0,1441600.0,7169417.293318649,5328093.385462555,651200.2110866373,1190123.6967694566,-2818782.706681351,-2565706.614537445,-799.7889133626595,-251476.3032305434,"[30, 40)"
Female,40,10211000.0,8060000.0,702000.0,1448000.0,7342847.75,5445645.147435897,701820.7707390649,1195381.8318250377,-2868152.25,-2614354.852564103,-179.22926093509886,-252618.16817496228,"[40, 50)"
Female,41,10292600.0,8115800.0,750000.0,1425800.0,7554596.120593692,5605603.607792208,750777.0419294991,1198215.4708719852,-2738003.879406308,-2510196.392207792,777.0419294991298,-227584.5291280148,"[40, 50)"
Female,42,10374200.0,8171600.0,798000.0,1403600.0,7596560.758125473,5618878.6987906275,798886.7603930461,1178795.298941799,-2777639.241874527,-2552721.3012093725,886.7603930460755,-224804.70105820103,"[40, 50)"
Female,43,10455800.0,8227400.0,846000.0,1381400.0,7744537.909981168,5729049.183804143,845258.3570621469,1170230.3691148777,-2711262.090018832,-2498350.816195857,-741.6429378531175,-211169.63088512234,"[40, 50)"
Female,44,10537400.0,8283200.0,894000.0,1359200.0,7914144.601678749,5851315.809996185,904750.9412438001,1158077.8504387639,-2623255.3983212514,-2431884.190003815,10750.941243800102,-201122.14956123615,"[40, 50)"
